split,seed,prompt_name,reward,n_turns,parse_ok,usd_cost
baseline,60000,default-systemprompt,0.35412346864630473,3,True,0.005208
baseline,60001,default-systemprompt,0.34788718973796423,3,True,0.005208000000000002
baseline,60002,default-systemprompt,0.3223276774859799,3,True,0.005208000000000001
baseline,60003,default-systemprompt,0.3260369392585844,3,True,0.005208000000000001
baseline,60004,default-systemprompt,0.2900873931982064,3,True,0.005208000000000001
baseline,60005,default-systemprompt,0.3223039705112639,3,True,0.005208000000000001
baseline,60006,default-systemprompt,0.35036285563998304,3,True,0.005207999999999997
baseline,60007,default-systemprompt,0.31916507824204643,3,True,0.005207999999999997
baseline,60008,default-systemprompt,0.3200044456768191,3,True,0.005207999999999997
baseline,60009,default-systemprompt,0.3241014634796118,3,True,0.005207999999999997
baseline,60010,default-systemprompt,0.3550983367076072,3,True,0.005207999999999997
baseline,60011,default-systemprompt,0.3816888334489133,3,True,0.005207999999999997
baseline,60012,default-systemprompt,0.3214739318099327,3,True,0.005208000000000011
baseline,60013,default-systemprompt,0.3525726920107067,3,True,0.005208000000000004
baseline,60014,default-systemprompt,0.3243418064076847,3,True,0.005208000000000004
baseline,60015,default-systemprompt,0.35166773916478833,3,True,0.005208000000000004
baseline,60016,default-systemprompt,0.2875453480617831,3,True,0.005208000000000004
baseline,60017,default-systemprompt,0.2958338009245451,3,True,0.005208000000000004
baseline,60018,default-systemprompt,0.3213235195187118,1,True,0.0032309999999999978
baseline,60019,default-systemprompt,0.32038004583774854,3,True,0.005208000000000004
baseline,60020,default-systemprompt,0.322113602522161,3,True,0.005208000000000004
baseline,60021,default-systemprompt,0.3230010096956693,3,True,0.005208000000000004
baseline,60022,default-systemprompt,0.32012301512201685,3,True,0.005208000000000004
baseline,60023,default-systemprompt,0.3208693587120507,3,True,0.005208000000000004
baseline,60024,default-systemprompt,0.32177145177405286,3,True,0.00520799999999999
baseline,60025,default-systemprompt,0.32275925920372434,3,True,0.00520799999999999
baseline,60026,default-systemprompt,0.32176851269109547,3,True,0.00520799999999999
baseline,60027,default-systemprompt,0.34585939964456514,3,True,0.00520799999999999
baseline,60028,default-systemprompt,0.3895880005074506,3,True,0.00520799999999999
baseline,60029,default-systemprompt,0.32149399468820794,3,True,0.00520799999999999
val:terse-baseline,60500,terse-baseline,0.3481593003678039,3,True,0.0048839999999999995
val:terse-baseline,60501,terse-baseline,0.3491657752091743,3,True,0.005009999999999987
val:terse-baseline,60502,terse-baseline,0.35142545328392955,3,True,0.005009999999999987
val:terse-baseline,60503,terse-baseline,0.31487010982956803,3,True,0.0048839999999999995
val:terse-baseline,60504,terse-baseline,0.29236409768239746,3,True,0.005009999999999987
val:verbose-with-strategy,60500,verbose-with-strategy,0.3482696329966742,3,True,0.005180999999999991
val:verbose-with-strategy,60501,verbose-with-strategy,0.3964933084023289,3,True,0.012081999999999982
